##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
855;1047;1165;1495;2096
856;1047;1157;1446;2096
857;1047;1162;1477;2096
858;1047;1156;1448;2096
859;1047;1159;1466;2096
860;1047;1152;1434;2096
861;1047;1168;1504;2096
862;1047;1160;1473;2096
863;1037;1161;1479;2096
864;1037;1165;1500;2096
865;1037;1153;1445;2096
866;1037;1163;1478;2096
867;1037;1152;1441;2096
868;1037;1153;1441;2096
869;1037;1159;1467;2096
870;1037;1158;1459;2096
871;1037;1153;1448;2096
872;1037;1157;1467;2096
873;1037;1160;1477;2096
874;1037;1160;1484;2096
875;1037;1159;1475;2096
876;1037;1153;1438;2096
877;1037;1151;1439;2096
878;1037;1146;1414;2096
879;1037;1153;1447;2096
880;1037;1156;1453;2096
881;1037;1153;1454;2096
882;1037;1163;1494;2096
883;1037;1152;1438;2096
884;1037;1159;1469;2096
885;1037;1163;1501;2096
886;1037;1160;1482;2096
887;1037;1158;1472;2096
888;1037;1165;1508;2096
889;1037;1160;1479;2096
890;1037;1161;1488;2096
891;1037;1144;1407;2096
892;1037;1145;1406;2096
893;1037;1159;1482;2096
894;1037;1152;1450;2096
895;1037;1154;1455;2096
896;1037;1151;1442;2096
897;1037;1147;1419;2096
898;1037;1158;1480;2096
899;1037;1152;1447;2096
900;1037;1153;1449;2119
901;1037;1153;1457;2119
902;1037;1146;1419;2119
903;1037;1159;1475;2119
904;1037;1165;1514;2119
905;1037;1156;1464;2119
906;1037;1157;1474;2119
907;1037;1152;1450;2119
908;1037;1156;1477;2119
909;1037;1149;1443;2119
910;1037;1152;1459;2119
911;1037;1154;1462;2119
912;1037;1155;1461;2119
913;1037;1151;1447;2119
914;1037;1152;1456;2119
915;1037;1153;1465;2119
916;1037;1151;1442;2119
917;1037;1150;1442;2119
918;1032;1143;1411;2119
919;1032;1155;1473;2119
920;1032;1158;1485;2119
921;1032;1150;1439;2119
922;1032;1157;1483;2119
923;1032;1150;1443;2119
924;1032;1157;1477;2119
925;1032;1158;1496;2119
926;1032;1153;1472;2119
927;1032;1141;1408;2119
928;1032;1158;1488;2119
929;1032;1147;1442;2119
930;1032;1153;1463;2119
931;1032;1156;1478;2119
932;1032;1152;1463;2119
933;1032;1149;1448;2119
934;1032;1162;1515;2119
935;1032;1160;1499;2119
936;1032;1148;1439;2119
937;1032;1154;1478;2119
938;1032;1156;1481;2119
939;1023;1153;1467;2119
940;1023;1145;1439;2119
941;1023;1144;1430;2119
942;1023;1144;1419;2119
943;1023;1140;1418;2119
944;1023;1151;1466;2119
945;1023;1150;1449;2119
946;1023;1150;1454;2119
947;1023;1147;1443;2119
948;1023;1152;1466;2119
949;1023;1155;1483;2119
950;1023;1144;1434;2119
951;1023;1153;1475;2119
952;1023;1145;1439;2119
953;1023;1144;1424;2119
954;1023;1149;1450;2119
955;1023;1152;1477;2119
956;1023;1147;1445;2119
957;1023;1153;1477;2119
958;1023;1151;1468;2119
959;1023;1148;1444;2119
960;1023;1152;1472;2119
961;1023;1152;1475;2119
962;1023;1144;1438;2119
963;1023;1152;1473;2119
964;1023;1146;1443;2119
965;1023;1146;1452;2119
966;1023;1148;1458;2119
967;1023;1152;1480;2119
968;1023;1152;1471;2119
969;1023;1145;1444;2119
970;1023;1151;1469;2119
971;1023;1147;1445;2119
972;1023;1149;1460;2119
973;1023;1141;1425;2119
974;1023;1137;1400;2119
975;1023;1147;1452;2119
976;1023;1140;1425;2119
977;1023;1139;1416;2119
978;1023;1154;1484;2119
979;1023;1140;1428;2119
980;1023;1149;1463;2119
981;1023;1149;1470;2119
